GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
8600000US02151,02151,ZCTA5 02151,19986,628,5833,376,5822,374,3653,392,2169,362,570,176,1599,346,11,18,0,29,11,18,14153,782,6432,560,4192,417,2240,369,840,248,1400,273,7721,670,3947,565,3774,434
8600000US02152,02152,ZCTA5 02152,7747,271,1819,192,1802,189,1297,197,505,148,129,79,376,124,17,18,17,18,0,19,5928,315,2713,295,2016,274,697,127,234,94,463,114,3215,337,1352,200,1863,265
8600000US02163,02163,ZCTA5 02163,528,63,51,36,51,36,51,36,0,12,0,12,0,12,0,12,0,12,0,12,477,67,33,19,33,19,0,12,0,12,0,12,444,69,204,64,240,67
8600000US02186,02186,ZCTA5 02186,8970,223,3686,198,3686,198,3074,177,612,161,58,49,554,160,0,23,0,23,0,23,5284,307,3245,300,2505,272,740,181,137,83,603,157,2039,246,692,176,1347,207
8600000US02199,02199,ZCTA5 02199,743,130,59,47,59,47,59,47,0,12,0,12,0,12,0,12,0,12,0,12,684,132,263,101,251,99,12,18,0,12,12,18,421,119,87,70,334,121
8600000US02203,02203,ZCTA5 02203,27,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,31,0,12,0,12,0,12,0,12,0,12,27,31,27,31,0,12
8600000US02210,02210,ZCTA5 02210,1543,173,128,62,128,62,103,59,25,26,14,20,11,16,0,12,0,12,0,12,1415,173,332,91,317,91,15,18,6,9,9,15,1083,180,697,159,386,110
8600000US02215,02215,ZCTA5 02215,7463,302,297,137,297,137,144,94,153,109,54,53,99,97,0,23,0,23,0,23,7166,318,1101,178,911,149,190,92,88,57,102,79,6065,348,2900,349,3165,294
8600000US02459,02459,ZCTA5 02459,6680,233,2364,197,2364,197,1997,219,367,159,18,21,349,157,0,19,0,19,0,19,4316,240,2742,225,2518,225,224,84,36,39,188,76,1574,252,721,185,853,187
8600000US02467,02467,ZCTA5 02467,6181,315,1987,241,1987,241,1583,194,404,147,118,86,286,115,0,23,0,23,0,23,4194,321,1910,232,1733,191,177,113,95,97,82,53,2284,274,792,185,1492,215
